# Engage CRC32 hash -> bone path map
# Format: <hash_hex_8>	<bone_path>
# Generated from uRig prefabs (extracted from Engage) + 1 stray bone
6CE9DA84	c_trans
84E03A2F	c_trans/c_center
5ABC8B60	c_trans/c_center/c_hip_jnt
0D225536	c_trans/c_center/c_hip_jnt/c_hip_loc
B0414A91	c_trans/c_center/c_hip_jnt/c_mngtil_jnt
5C6BB611	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/c_sprtil1_jnt
C7B5C1B2	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/c_sprtil1_jnt/c_sprtil2_jnt
DE69AB2D	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/c_sprtil1_jnt/c_sprtil2_jnt/c_til3_jnt
7B1B6324	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/l_sprtil1_jnt
F092848B	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/l_sprtil1_jnt/l_sprtil2_jnt
6D4EFCD3	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/l_sprtil1_jnt/l_sprtil2_jnt/l_til3_jnt
35FAC94E	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/r_sprtil1_jnt
9EDC0EF9	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/r_sprtil1_jnt/r_sprtil2_jnt
D071556E	c_trans/c_center/c_hip_jnt/c_mngtil_jnt/r_sprtil1_jnt/r_sprtil2_jnt/r_til3_jnt
8C41789A	c_trans/c_center/c_hip_jnt/c_spine1_jnt
C007F52A	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_mngbel_jnt
4A397069	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_mngbel_jnt/c_sprbel_jnt
71761949	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_mngbel_jnt/c_sprbel_jnt/c_bel_jnt
C86BD47E	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt
6256A679	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt
54D505C3	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt
0501FC33	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_lipLow_jnt
16809F41	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_lipUp_jnt
6EBBAF20	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_mngjaw_jnt
FB64D8E6	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_mngjaw_jnt/c_sprjaw_jnt
CE6B63D0	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_mngjaw_jnt/c_sprjaw_jnt/c_jaw_jnt
A685288F	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_nose_jnt
38E97BC0	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_tongue1_jnt
08D72B85	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/c_tongue1_jnt/c_tongue2_jnt
C8F948DC	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_ear_jnt
E4F93687	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_eyeball_jnt
40B849AF	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_eyeball_jnt/l_eyeblackLow_jnt
CDED679F	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_eyeball_jnt/l_eyeblackLow_jnt/l_eyeblackUp_jnt
77956342	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_lipLow_jnt
85786B87	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_lipUp_jnt
CBF2DC02	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/l_lip_jnt
ACFBD13F	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_ear_jnt
AA189CED	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_eyeball_jnt
A9DC913A	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_eyeball_jnt/r_eyeblackLow_jnt
DC361467	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_eyeball_jnt/r_eyeblackLow_jnt/r_eyeblackUp_jnt
92BC5DA0	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_lipLow_jnt
79F8844A	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_lipUp_jnt
AFF045E1	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/c_head_jnt/r_lip_jnt
CA77F1E3	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/l_mngmfl_jnt
9D067D04	c_trans/c_center/c_hip_jnt/c_spine1_jnt/c_spine2_jnt/c_neck_jnt/l_mngmfl_jnt/l_sprmflA1_jnt
